horticulteur,horticultrice,,,
hôte,hôte (qui est reçue); hôtesse (qui reçoit),,,
hôtelier,hôtelière,,,
huileur,huileuse,,,
huissier,huissière,,,
hygiéniste,hygiéniste,hygiéniste,,
illustrateur,illustratrice,,,
imprésario,imprésario,imprésario,,
imprimeur,imprimeuse,,,
industriel,industrielle,,,
infirmier,infirmière,,,
infographiste,infographiste,infographiste,,
informaticien,informaticienne,,,
ingénieur,ingénieure,,,
ingénieur chimiste,ingénieure chimiste,,,
ingénieur civil,ingénieure civile,,,
ingénieur forestier,ingénieure forestière,,,
inspecteur,inspectrice,,,
instituteur,institutrice,,,
instructeur,instructrice,,,
intendant,intendante,,,
intérimaire,intérimaire,,,
interlocuteur,interlocutrice,,,
interprète,interprète,interprète,,
intervenant,intervenante,,,
intervieweur,intervieweuse,,,
investisseur,investisseuse,,,
jardinier,jardinière,,,
journaliste,journaliste,,,
journaliste sportif,journaliste sportive,,,
juge,juge,,,
juré,jurée,,,
juriste,juriste,juriste,,
lamineur,lamineuse,,,
langagier,langagière,,,
lecteur,lectrice,,,
législateur,législatrice,,,
lieutenant-gouverneur,lieutenante-gouverneure,,,
linguiste,linguiste,linguiste,,
machiniste,machiniste,machiniste,,
maçon,maçonne,,,
magasinier,magasinière,,,
magistrat,magistrate,,,
maire,mairesse,,,
maître,maître; maîtresse,,,
malfaiteur,malfaitrice,,,
mannequin,mannequin,,,
manœuvre,manœuvre,manœuvre,,
maquilleur,maquilleuse,,,
maraîcher,maraîchère,,,
marchand,marchande,,,
marguillier,marguillière,,,
marin,marin,marin,,
masseur,masseuse,,,
matelot,matelot,,,
mathématicien,mathématicienne,,,
mécanicien,mécanicienne,,,
mécène,mécène,,,
médecin,médecin,,,
médiateur,médiatrice,,,
membre,membre,,,
menuisier,menuisière,,,
messager,messagère,,,
météorologue,météorologue,,,
metteur en scène,metteure en scène,,,
meunier,meunière,,,
mineur,mineuse,,,
ministre,ministre,ministre,,
modiste,modiste,modiste,,
moniteur,monitrice,,,
monteur,monteuse,,,
narrateur,narratrice,,,
naturopraticien,naturopraticienne,,,
navigateur,navigatrice,,,
nettoyeur,nettoyeuse,,,
notaire,notaire,notaire,,
officier,officière,,,
omnipraticien,omnipraticienne,,,
opérateur,opératrice,,,
opticien,opticienne,,,
orateur,oratrice,,,
orchestrateur,orchestratrice,,,
orfèvre,orfèvre,,,
orienteur,orienteuse,,,
ouvrier,ouvrière,,,
pâtissier,pâtissière,,,
patrouilleur,patrouilleuse,,,
paysagiste,paysagiste,,,
pédologue,pédologue,,,
peintre,peintre,,,
percepteur,perceptrice,,,
perruquier,perruquière,,,
pharmacien,pharmacienne,,,
physicien,physicienne,,,
physiothérapeute,physiothérapeute,,,
pigiste,pigiste,pigiste,,
pilote,pilote,,,
pisciculteur,piscicultrice,,,
plâtrier,plâtrière,,,
plombier,plombière,,,
plongeur,plongeuse,,,
poète,poète,,,
policier,policière,,,
polisseur,polisseuse,,,
pompier,pompière,,,
porte-parole,porte-parole,,,
poseur,poseuse,,,
postulant,postulante,,,
potier,potière,,,
pourvoyeur,pourvoyeuse,,,
praticien,praticienne,,,
précurseur,précurseure,,,
prédécesseur,prédécesseure,,,
préfet,préfète,,,
premier ministre,première ministre,,,
préposé,préposée,,,
présentateur,présentatrice,,,
président,présidente,,,
principal,principale,,,
procureur,procureure,,,
producteur,productrice,,,
professeur,professeure,,,
professeur-chercheur,professeure-chercheuse,,,
programmateur,programmatrice,,,
programmeur,programmeuse,,,
promoteur,promotrice,,,
prospecteur,prospectrice,,,
puériculteur,puéricultrice,,,
radiologiste,radiologiste,radiologiste,,
radiologue,radiologue,radiologue,,
rapporteur,rapporteuse,,,
réalisateur,réalisatrice,,,
recenseur,recenseuse,,,
réceptionniste,réceptionniste,réceptionniste,,
recruteur,recruteuse,,,
recteur,rectrice,,,
rédacteur,rédactrice,,,
régisseur,régisseuse,,,
registraire,registraire,,,
rembourreur,rembourreuse,,,
remplaçant,remplaçante,,,
réparateur,réparatrice,,,
répartiteur,répartitrice,,,
repasseur,repasseuse,,,
répétiteur,répétitrice,,,
répondant,répondante,,,
reporteur,reporteuse,,,
représentant,représentante,,,
requérant,requérante,,,
responsable,responsable,responsable,,
restaurateur,restauratrice,,,
retraité,retraitée,,,
réviseur,réviseure,,,
sapeur-pompier,sapeuse-pompière,,,
sauveteur,sauveteuse,,,
scrutateur,scrutatrice,,,
sculpteur,sculpteuse,,,
secrétaire,secrétaire,secrétaire,,
secrétaire-trésorier,secrétaire-trésorière,,,
sénateur,sénatrice,,,
sergent,sergente,sergent.e,,
serrurier,serrurière,,,
serveur,serveuse,,,
soigneur,soigneuse,,,
solliciteur,solliciteuse,,,
soudeur,soudeuse,,,
souffleur,souffleuse,,,
sous-ministre,sous-ministre,sous-ministre,,
sous-traitant,sous-traitante,sous-traitant.e,,
stagiaire,stagiaire,stagiaire,,
statisticien,statisticienne,statisticien.ne,,
substitut,substitut,substitut,,
successeur,successeure,,,
supérieur,supérieure,supérieur.e,,
superviseur,superviseuse,superviseur.euse,,
surintendant,surintendante,surintendant.e,,
surveillant,surveillante,surveillant.e,,
syndic,syndique,syndic.que,,
tailleur,tailleuse,tailleu.r.se,,
tapissier,tapissière,tapissier.ère,,
technicien,technicienne,technicien.ne,,
téléphoniste,téléphoniste,téléphoniste,,
teneur de livres,teneuse de livres,teneu.r.se de livres,,
terminologue,terminologue,terminologue,,
tisserand,tisserande,tisserand.e,,
traducteur,traductrice,traduct.eur.rice,,
traiteur,traiteuse,traiteu.r.se,,
travailleur,travailleuse,travailleu.r.se,,
travailleur social,travailleuse sociale,travailleu.r.se sociale,,
trésorier,trésorière,trésorier.ère,,
trieur,trieuse,trieu.r.se,,
tuteur,tutrice,tut.eur.rice,,
tuyauteur,tuyauteuse,tuyauteu.r.se,,
typographe,typographe,typographe,,
urgentologue,urgentologue,urgentologue,,
usager,usagère,usager.ère,,
utilisateur,utilisatrice,utilisateur.trice,,
vendeur,vendeuse,veudeur.euse,,
vérificateur,vérificatrice,vérificateur.trice,,
vétérinaire,vétérinaire,vétérinaire,,
vice-président,vice-présidente,vice-président.e,,
vitrier,vitrière,vitrier.ère,,
voyagiste,voyagiste,voyagiste,,
voyant,voyante,voyant.e,,
zoologiste,zoologiste,zoologiste,,
zootechnicien,zootechnicienne,zootechnicien.ne,,
